,Model,Displ,Cyl,Trans,Drive,Fuel,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score
517,LINCOLN Continental,2.7,6,SemiAuto-6,2WD,Gasoline,L3ULEV70,JFMXV02.7VLM,large car,5.0,18.0,27.0,21.0,4.0
518,LINCOLN Continental,2.7,6,SemiAuto-6,4WD,Gasoline,L3ULEV70,JFMXV02.7VLM,large car,5.0,17.0,25.0,20.0,4.0
519,LINCOLN Continental,3.0,6,SemiAuto-6,4WD,Gasoline,L3ULEV70,JFMXV03.0VLG,large car,5.0,16.0,24.0,19.0,3.0
520,LINCOLN Continental,3.7,6,SemiAuto-6,2WD,Gasoline,L3ULEV125,JFMXV03.7VLT,large car,3.0,17.0,26.0,20.0,4.0
521,LINCOLN Continental,3.7,6,SemiAuto-6,4WD,Gasoline,L3ULEV125,JFMXV03.7VLT,large car,3.0,16.0,24.0,19.0,3.0
522,LINCOLN MKT,3.5,6,SemiAuto-6,4WD,Gasoline,U2,JFMXJ03.5VEP,standard SUV,3.0,15.0,21.0,17.0,3.0
523,LINCOLN MKT,3.7,6,SemiAuto-6,2WD,Gasoline,U2,JFMXV03.7VE8,standard SUV,3.0,16.0,24.0,19.0,3.0
524,LINCOLN MKT Livery,3.7,6,Auto-6,4WD,Gasoline,U2,JFMXV03.7VE8,special purpose,3.0,16.0,23.0,18.0,3.0
525,MASERATI Ghibli,3.0,6,Auto-8,2WD,Gasoline,L2,JMAXV03.0DFI,midsize car,1.0,17.0,24.0,19.0,3.0
526,MASERATI Ghibli S,3.0,6,Auto-8,2WD,Gasoline,L2,JMAXV03.0DFI,midsize car,1.0,16.0,24.0,19.0,3.0
527,MASERATI Ghibli S Q4,3.0,6,Auto-8,4WD,Gasoline,L2,JMAXV03.0DFI,midsize car,1.0,16.0,24.0,19.0,3.0
528,MASERATI Granturismo,4.7,8,Auto-6,2WD,Gasoline,L2,JMAXV04.7LEV,small car,1.0,13.0,21.0,16.0,2.0
529,MASERATI Granturismo Convertible,4.7,8,Auto-6,2WD,Gasoline,L2,JMAXV04.7LEV,small car,1.0,13.0,20.0,15.0,2.0
530,MASERATI Levante,3.0,8,Auto-8,4WD,Gasoline,L2,JMAXT03.0AWD,standard SUV,1.0,14.0,20.0,16.0,2.0
531,MASERATI Levante S,3.0,8,Auto-8,4WD,Gasoline,L2,JMAXT03.0AWD,standard SUV,1.0,14.0,19.0,16.0,2.0
532,MASERATI Quattroporte S,3.0,6,Auto-8,2WD,Gasoline,L2,JMAXV03.0DFI,large car,1.0,16.0,23.0,18.0,3.0
533,MASERATI Quattroporte S Q4,3.0,6,Auto-8,4WD,Gasoline,L2,JMAXV03.0DFI,large car,1.0,16.0,23.0,18.0,3.0
534,MAZDA 3,2.0,4,Man-6,2WD,Gasoline,L3SULEV30,JTKXV02.0CDA,midsize car,7.0,27.0,37.0,31.0,7.0
535,MAZDA 3,2.0,4,Man-6,2WD,Gasoline,L3SULEV30,JTKXV02.0CDA,small car,7.0,28.0,38.0,31.0,7.0
536,MAZDA 3,2.0,4,SemiAuto-6,2WD,Gasoline,L3SULEV30,JTKXV02.0CDA,midsize car,7.0,28.0,37.0,32.0,7.0
537,MAZDA 3,2.0,4,SemiAuto-6,2WD,Gasoline,L3SULEV30,JTKXV02.0CDA,small car,7.0,28.0,37.0,31.0,7.0
538,MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,L3SULEV30,JTKXV02.5CDB,midsize car,7.0,26.0,35.0,30.0,7.0
539,MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,L3SULEV30,JTKXV02.5CDB,small car,7.0,27.0,36.0,30.0,7.0
540,MAZDA CX-3,2.0,4,SemiAuto-6,2WD,Gasoline,L2ULEV125,JTKXV02.5FBA,small car,3.0,29.0,34.0,31.0,7.0
541,MAZDA CX-3,2.0,4,SemiAuto-6,4WD,Gasoline,L2ULEV125,JTKXV02.5FBA,small car,3.0,27.0,32.0,29.0,6.0
542,MAZDA CX-9,2.5,4,SemiAuto-6,2WD,Gasoline,L3ULEV125,JTKXT02.5FFA,small SUV,3.0,22.0,28.0,24.0,5.0
543,MAZDA CX-9,2.5,4,SemiAuto-6,4WD,Gasoline,L3ULEV125,JTKXT02.5FFA,small SUV,3.0,20.0,26.0,23.0,5.0
544,MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,17.0,22.0,19.0,3.0
545,MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,17.0,23.0,19.0,3.0
546,MERCEDES-BENZ AMG C63,4.0,8,Auto-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,18.0,24.0,20.0,4.0
547,MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,17.0,22.0,19.0,3.0
548,MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,17.0,23.0,19.0,3.0
549,MERCEDES-BENZ AMG C63 S,4.0,8,Auto-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,18.0,24.0,20.0,4.0
550,MERCEDES-BENZ AMG CLA45 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,L3ULEV125,JMBXV02.0U2C,small car,3.0,23.0,30.0,26.0,5.0
551,MERCEDES-BENZ AMG CLS63 4Matic,5.5,8,Auto-7,4WD,Gasoline,U2,JMBXV05.5U2A,small car,3.0,16.0,22.0,18.0,3.0
552,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8,Auto-9,4WD,Gasoline,L3ULEV70,JMBXV04.0U2A,midsize car,5.0,15.0,22.0,18.0,3.0
553,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8,Auto-9,4WD,Gasoline,L3ULEV70,JMBXV04.0U2A,station wagon,5.0,16.0,22.0,18.0,3.0
554,MERCEDES-BENZ AMG GLA45 4Matic,2.0,4,AutoMan-7,4WD,Gasoline,L3ULEV125,JMBXV02.0U2C,station wagon,3.0,22.0,28.0,25.0,5.0
555,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6,Auto-9,4WD,Gasoline,L3ULEV125,JMBXT03.0U2B,standard SUV,3.0,17.0,22.0,19.0,3.0
556,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6,Auto-9,4WD,Gasoline,L3ULEV125,JMBXT03.0U2B,standard SUV,3.0,17.0,23.0,19.0,3.0
557,MERCEDES-BENZ AMG GLE63,5.5,8,Auto-7,4WD,Gasoline,L3ULEV125,JMBXT05.5U2A,standard SUV,3.0,14.0,18.0,15.0,2.0
558,MERCEDES-BENZ AMG GLE63 S,5.5,8,Auto-7,4WD,Gasoline,L3ULEV125,JMBXT05.5U2A,standard SUV,3.0,14.0,18.0,15.0,2.0
559,MERCEDES-BENZ AMG GLE63 S,5.5,8,Auto-7,4WD,Gasoline,L3ULEV125,JMBXT05.5U2A,standard SUV,3.0,14.0,18.0,15.0,2.0
560,MERCEDES-BENZ AMG GLS63,5.5,8,Auto-7,4WD,Gasoline,L3ULEV125,JMBXT05.5U2A,standard SUV,3.0,13.0,18.0,15.0,2.0
561,MERCEDES-BENZ AMG GT,4.0,8,AutoMan-7,2WD,Gasoline,L3ULEV70,JMBXV04.0U2A,small car,5.0,16.0,21.0,18.0,3.0
